Marque,Modèle,year,puissances_fiscales,road,boite,fuel,cylindres,nbre_portes,negociable,Prix
Peugeot,206,2012,4 CV,110 000 KM,Manuelle,Essence,5,,Négociable,22700
Kia,RIO,2022,5 CV,133 KM,Automatique,Essence,3 L,5,Négociable,59000
Peugeot,307,2006,6 CV,490 000 KM,Manuelle,Essence,5,,Négociable,25000
Mazda,CX-5,2018,9 CV,30 000 KM,Automatique,Diesel,,,Non Négociable,140000
Great-wall,MK-GT,2021,6 CV,36 000 KM,Manuelle,Essence,3 L,5,Négociable,45500
Peugeot,308,2015,5 CV,180 000 KM,Manuelle,Essence,3 L,5,Négociable,32000
Mazda,MAZDA6,2018,8 CV,157 000 KM,Automatique,Essence,11 L,5,Négociable,61
Audi,Q3,2019,6 CV,77 000 KM,Automatique,Essence,1 L,5,Non Négociable,95000
Volkswagen,Golf 6,2010,5 CV,169 KM,Manuelle,Diesel,7 L,5,Négociable,38500
Peugeot,405,1971,4 CV,1 KM,Manuelle,Diesel,5,,Négociable,22000
Peugeot,508,2019,7 CV,112 000 KM,Automatique,Diesel,6 L,5,Négociable,95000
Mahindra,KUV 100,2018,5 CV,68 000 KM,Manuelle,Essence,3 L,5,Non Négociable,26800
Volkswagen,Golf,2019,6 CV,85 000 KM,Automatique,Essence,3 L,5,Négociable,65000
Skoda,Octavia,2015,7 CV,181 000 KM,Automatique,Essence,5 L,5,Non Négociable,41000
Hyundai,I10,2020,5 CV,142 000 KM,Manuelle,Essence,3 L,5,Négociable,33
Kia,RIO,2015,5 CV,160 000 KM,Manuelle,Essence,3 L,5,Négociable,37000
Opel,Corsa,1999,4 CV,100 000 KM,Manuelle,Essence,4 L,5,Négociable,11000
Volkswagen,Tiguan,2019,6 CV,49 000 KM,Manuelle,Essence,1 L,5,Négociable,95
Kia,SPORTAGE,2022,7 CV,80 KM,Automatique,Hybride,6 L,5,Non Négociable,0
Ssangyong,Tivoli,2021,6 CV,130 KM,Manuelle,Essence,3 L,5,Négociable,65
Chery,QQ,2018,4 CV,100 000 KM,Manuelle,Essence,1 L,5,Non Négociable,21000
Dacia,SANDERO,2014,5 CV,154 KM,Manuelle,Essence,1 L,5,Non Négociable,36
Peugeot,208,2016,5 CV,164 000 KM,Manuelle,Essence,3 L,5,Négociable,28000
Mercedes,Classe C,2016,8 CV,110 340 KM,Manuelle,Essence,9 L,5,Non Négociable,90
Volkswagen,Polo,2001,5 CV,280 KM,Manuelle,Essence,5 L,5,Négociable,16000
Volkswagen,Polo,1998,4 CV,555 KM,Manuelle,Essence,1 L,5,Non Négociable,13200
Renault,Clio,2003,5 CV,304 000 KM,Manuelle,Essence,3 L,5,Négociable,11111
Chevrolet,AVEO,2012,5 CV,100 000 KM,Manuelle,Essence,3 L,5,Négociable,18000
Kia,RIO,2018,5 CV,101 000 KM,Manuelle,Essence,3 L,5,Négociable,41000
Peugeot,108,2017,4 CV,114 KM,Manuelle,Essence,3 L,5,Négociable,30000
Ssangyong,Actyon,2017,7 CV,260 000 KM,Manuelle,Diesel,7 L,5,Négociable,50
Peugeot,106,1994,5 CV,450 KM,Manuelle,Essence,5 L,5,Négociable,111
Peugeot,208,2019,5 CV,95 000 KM,Manuelle,Essence,3 L,5,Négociable,34
Suzuki,Swift,2018,5 CV,131 KM,Manuelle,Essence,5,,Négociable,34
Hyundai,I20,2016,4 CV,245 000 KM,Manuelle,Essence,2 L,5,Négociable,34000
Audi,A4,2013,7 CV,248 705 KM,Manuelle,Essence,9 L,5,Négociable,45000
Hyundai,I10,2021,5 CV,41 000 KM,Manuelle,Essence,3 L,5,Négociable,49500
Seat,Ibiza,2017,4 CV,140 000 KM,Manuelle,Essence,1 L,5,Non Négociable,370000
Ford,FIESTA,2011,5 CV,183 000 KM,Manuelle,Essence,5 L,5,Négociable,25900
Nissan,Micra,2020,5 CV,74 340 KM,Manuelle,Essence,3 L,5,Négociable,33800
Peugeot,Autres,2021,5 CV,74 000 KM,Manuelle,Essence,3 L,5,Négociable,33000
Hyundai,SANTA FE,2022,9 CV,23 000 KM,Automatique,Hybride,7 L,5,Négociable,85
Mahindra,KUV 100,2022,5 CV,10 200 KM,Manuelle,Diesel,3 L,,Négociable,0
Renault,Clio,2008,5 CV,322 000 KM,Manuelle,Essence,3 L,5,Non Négociable,22500
Fiat,AUTRE,2004,5 CV,298 000 KM,Manuelle,Essence,21 L,5,Non Négociable,17000000
Fiat,PUNTO,1997,4 CV,297 000 KM,Manuelle,Essence,31 L,5,Négociable,13200
Renault,Clio,2012,5 CV,117 000 KM,Manuelle,Essence,3 L,5,Négociable,30500
Opel,Agila,2001,5 CV,284 000 KM,Manuelle,Essence,3 L,5,Négociable,16200
Mazda,MAZDA2,2017,6 CV,191 000 KM,Manuelle,Essence,6 L,5,Négociable,37500
Chery,Tiggo,2020,6 CV,100 000 KM,Manuelle,Essence,7 L,5,Non Négociable,42500
Peugeot,206,2012,4 CV,110 000 KM,Manuelle,Essence,5,,Négociable,22700
Kia,RIO,2022,5 CV,133 KM,Automatique,Essence,3 L,5,Négociable,59000
Peugeot,307,2006,6 CV,490 000 KM,Manuelle,Essence,5,,Négociable,25000
Mazda,CX-5,2018,9 CV,30 000 KM,Automatique,Diesel,,,Non Négociable,140000
Great-wall,MK-GT,2021,6 CV,36 000 KM,Manuelle,Essence,3 L,5,Négociable,45500
Peugeot,308,2015,5 CV,180 000 KM,Manuelle,Essence,3 L,5,Négociable,32000
Mazda,MAZDA6,2018,8 CV,157 000 KM,Automatique,Essence,11 L,5,Négociable,61
Audi,Q3,2019,6 CV,77 000 KM,Automatique,Essence,1 L,5,Non Négociable,95000
Volkswagen,Golf 6,2010,5 CV,169 KM,Manuelle,Diesel,7 L,5,Négociable,38500
Peugeot,405,1971,4 CV,1 KM,Manuelle,Diesel,5,,Négociable,22000
Peugeot,508,2019,7 CV,112 000 KM,Automatique,Diesel,6 L,5,Négociable,95000
Mahindra,KUV 100,2018,5 CV,68 000 KM,Manuelle,Essence,3 L,5,Non Négociable,26800
Volkswagen,Golf,2019,6 CV,85 000 KM,Automatique,Essence,3 L,5,Négociable,65000
Skoda,Octavia,2015,7 CV,181 000 KM,Automatique,Essence,5 L,5,Non Négociable,41000
Hyundai,I10,2020,5 CV,142 000 KM,Manuelle,Essence,3 L,5,Négociable,33
Kia,RIO,2015,5 CV,160 000 KM,Manuelle,Essence,3 L,5,Négociable,37000
Opel,Corsa,1999,4 CV,100 000 KM,Manuelle,Essence,4 L,5,Négociable,11000
Volkswagen,Tiguan,2019,6 CV,49 000 KM,Manuelle,Essence,1 L,5,Négociable,95
Kia,SPORTAGE,2022,7 CV,80 KM,Automatique,Hybride,6 L,5,Non Négociable,0
Ssangyong,Tivoli,2021,6 CV,130 KM,Manuelle,Essence,3 L,5,Négociable,65
Chery,QQ,2018,4 CV,100 000 KM,Manuelle,Essence,1 L,5,Non Négociable,21000
Dacia,SANDERO,2014,5 CV,154 KM,Manuelle,Essence,1 L,5,Non Négociable,36
Peugeot,208,2016,5 CV,164 000 KM,Manuelle,Essence,3 L,5,Négociable,28000
Mercedes,Classe C,2016,8 CV,110 340 KM,Manuelle,Essence,9 L,5,Non Négociable,90
Volkswagen,Polo,2001,5 CV,280 KM,Manuelle,Essence,5 L,5,Négociable,16000
Volkswagen,Polo,1998,4 CV,555 KM,Manuelle,Essence,1 L,5,Non Négociable,13200
Renault,Clio,2003,5 CV,304 000 KM,Manuelle,Essence,3 L,5,Négociable,11111
Chevrolet,AVEO,2012,5 CV,100 000 KM,Manuelle,Essence,3 L,5,Négociable,18000
Kia,RIO,2018,5 CV,101 000 KM,Manuelle,Essence,3 L,5,Négociable,41000
Peugeot,108,2017,4 CV,114 KM,Manuelle,Essence,3 L,5,Négociable,30000
Ssangyong,Actyon,2017,7 CV,260 000 KM,Manuelle,Diesel,7 L,5,Négociable,50
Peugeot,106,1994,5 CV,450 KM,Manuelle,Essence,5 L,5,Négociable,111
Peugeot,208,2019,5 CV,95 000 KM,Manuelle,Essence,3 L,5,Négociable,34
Suzuki,Swift,2018,5 CV,131 KM,Manuelle,Essence,5,,Négociable,34
Hyundai,I20,2016,4 CV,245 000 KM,Manuelle,Essence,2 L,5,Négociable,34000
Audi,A4,2013,7 CV,248 705 KM,Manuelle,Essence,9 L,5,Négociable,45000
Hyundai,I10,2021,5 CV,41 000 KM,Manuelle,Essence,3 L,5,Négociable,49500
Seat,Ibiza,2017,4 CV,140 000 KM,Manuelle,Essence,1 L,5,Non Négociable,370000
Ford,FIESTA,2011,5 CV,183 000 KM,Manuelle,Essence,5 L,5,Négociable,25900
Nissan,Micra,2020,5 CV,74 340 KM,Manuelle,Essence,3 L,5,Négociable,33800
Peugeot,Autres,2021,5 CV,74 000 KM,Manuelle,Essence,3 L,5,Négociable,33000
Hyundai,SANTA FE,2022,9 CV,23 000 KM,Automatique,Hybride,7 L,5,Négociable,85
Mahindra,KUV 100,2022,5 CV,10 200 KM,Manuelle,Diesel,3 L,,Négociable,0
Renault,Clio,2008,5 CV,322 000 KM,Manuelle,Essence,3 L,5,Non Négociable,22500
Fiat,AUTRE,2004,5 CV,298 000 KM,Manuelle,Essence,21 L,5,Non Négociable,17000000
Fiat,PUNTO,1997,4 CV,297 000 KM,Manuelle,Essence,31 L,5,Négociable,13200
Renault,Clio,2012,5 CV,117 000 KM,Manuelle,Essence,3 L,5,Négociable,30500
Opel,Agila,2001,5 CV,284 000 KM,Manuelle,Essence,3 L,5,Négociable,16200
Mazda,MAZDA2,2017,6 CV,191 000 KM,Manuelle,Essence,6 L,5,Négociable,37500
Chery,Tiggo,2020,6 CV,100 000 KM,Manuelle,Essence,7 L,5,Non Négociable,42500
Peugeot,206,2012,4 CV,110 000 KM,Manuelle,Essence,5,,Négociable,22700
Kia,RIO,2022,5 CV,133 KM,Automatique,Essence,3 L,5,Négociable,59000
Peugeot,307,2006,6 CV,490 000 KM,Manuelle,Essence,5,,Négociable,25000
Mazda,CX-5,2018,9 CV,30 000 KM,Automatique,Diesel,,,Non Négociable,140000
Great-wall,MK-GT,2021,6 CV,36 000 KM,Manuelle,Essence,3 L,5,Négociable,45500
Peugeot,308,2015,5 CV,180 000 KM,Manuelle,Essence,3 L,5,Négociable,32000
Mazda,MAZDA6,2018,8 CV,157 000 KM,Automatique,Essence,11 L,5,Négociable,61
Audi,Q3,2019,6 CV,77 000 KM,Automatique,Essence,1 L,5,Non Négociable,95000
Volkswagen,Golf 6,2010,5 CV,169 KM,Manuelle,Diesel,7 L,5,Négociable,38500
Peugeot,405,1971,4 CV,1 KM,Manuelle,Diesel,5,,Négociable,22000
Peugeot,508,2019,7 CV,112 000 KM,Automatique,Diesel,6 L,5,Négociable,95000
Mahindra,KUV 100,2018,5 CV,68 000 KM,Manuelle,Essence,3 L,5,Non Négociable,26800
Volkswagen,Golf,2019,6 CV,85 000 KM,Automatique,Essence,3 L,5,Négociable,65000
Skoda,Octavia,2015,7 CV,181 000 KM,Automatique,Essence,5 L,5,Non Négociable,41000
Hyundai,I10,2020,5 CV,142 000 KM,Manuelle,Essence,3 L,5,Négociable,33
Kia,RIO,2015,5 CV,160 000 KM,Manuelle,Essence,3 L,5,Négociable,37000
Opel,Corsa,1999,4 CV,100 000 KM,Manuelle,Essence,4 L,5,Négociable,11000
Volkswagen,Tiguan,2019,6 CV,49 000 KM,Manuelle,Essence,1 L,5,Négociable,95
Kia,SPORTAGE,2022,7 CV,80 KM,Automatique,Hybride,6 L,5,Non Négociable,0
Ssangyong,Tivoli,2021,6 CV,130 KM,Manuelle,Essence,3 L,5,Négociable,65
Chery,QQ,2018,4 CV,100 000 KM,Manuelle,Essence,1 L,5,Non Négociable,21000
Dacia,SANDERO,2014,5 CV,154 KM,Manuelle,Essence,1 L,5,Non Négociable,36
Peugeot,208,2016,5 CV,164 000 KM,Manuelle,Essence,3 L,5,Négociable,28000
Mercedes,Classe C,2016,8 CV,110 340 KM,Manuelle,Essence,9 L,5,Non Négociable,90
Volkswagen,Polo,2001,5 CV,280 KM,Manuelle,Essence,5 L,5,Négociable,16000
Volkswagen,Polo,1998,4 CV,555 KM,Manuelle,Essence,1 L,5,Non Négociable,13200
Renault,Clio,2003,5 CV,304 000 KM,Manuelle,Essence,3 L,5,Négociable,11111
Chevrolet,AVEO,2012,5 CV,100 000 KM,Manuelle,Essence,3 L,5,Négociable,18000
Kia,RIO,2018,5 CV,101 000 KM,Manuelle,Essence,3 L,5,Négociable,41000
Peugeot,108,2017,4 CV,114 KM,Manuelle,Essence,3 L,5,Négociable,30000
Ssangyong,Actyon,2017,7 CV,260 000 KM,Manuelle,Diesel,7 L,5,Négociable,50
Peugeot,106,1994,5 CV,450 KM,Manuelle,Essence,5 L,5,Négociable,111
Peugeot,208,2019,5 CV,95 000 KM,Manuelle,Essence,3 L,5,Négociable,34
Suzuki,Swift,2018,5 CV,131 KM,Manuelle,Essence,5,,Négociable,34
Hyundai,I20,2016,4 CV,245 000 KM,Manuelle,Essence,2 L,5,Négociable,34000
Audi,A4,2013,7 CV,248 705 KM,Manuelle,Essence,9 L,5,Négociable,45000
Hyundai,I10,2021,5 CV,41 000 KM,Manuelle,Essence,3 L,5,Négociable,49500
Seat,Ibiza,2017,4 CV,140 000 KM,Manuelle,Essence,1 L,5,Non Négociable,370000
Ford,FIESTA,2011,5 CV,183 000 KM,Manuelle,Essence,5 L,5,Négociable,25900
Nissan,Micra,2020,5 CV,74 340 KM,Manuelle,Essence,3 L,5,Négociable,33800
Peugeot,Autres,2021,5 CV,74 000 KM,Manuelle,Essence,3 L,5,Négociable,33000
Hyundai,SANTA FE,2022,9 CV,23 000 KM,Automatique,Hybride,7 L,5,Négociable,85
Mahindra,KUV 100,2022,5 CV,10 200 KM,Manuelle,Diesel,3 L,,Négociable,0
Renault,Clio,2008,5 CV,322 000 KM,Manuelle,Essence,3 L,5,Non Négociable,22500
Fiat,AUTRE,2004,5 CV,298 000 KM,Manuelle,Essence,21 L,5,Non Négociable,17000000
Fiat,PUNTO,1997,4 CV,297 000 KM,Manuelle,Essence,31 L,5,Négociable,13200
Renault,Clio,2012,5 CV,117 000 KM,Manuelle,Essence,3 L,5,Négociable,30500
Opel,Agila,2001,5 CV,284 000 KM,Manuelle,Essence,3 L,5,Négociable,16200
Mazda,MAZDA2,2017,6 CV,191 000 KM,Manuelle,Essence,6 L,5,Négociable,37500
Chery,Tiggo,2020,6 CV,100 000 KM,Manuelle,Essence,7 L,5,Non Négociable,42500
Peugeot,206,2012,4 CV,110 000 KM,Manuelle,Essence,5,,Négociable,22700
Kia,RIO,2022,5 CV,133 KM,Automatique,Essence,3 L,5,Négociable,59000
Peugeot,307,2006,6 CV,490 000 KM,Manuelle,Essence,5,,Négociable,25000
Mazda,CX-5,2018,9 CV,30 000 KM,Automatique,Diesel,,,Non Négociable,140000
Great-wall,MK-GT,2021,6 CV,36 000 KM,Manuelle,Essence,3 L,5,Négociable,45500
Peugeot,308,2015,5 CV,180 000 KM,Manuelle,Essence,3 L,5,Négociable,32000
Mazda,MAZDA6,2018,8 CV,157 000 KM,Automatique,Essence,11 L,5,Négociable,61
Audi,Q3,2019,6 CV,77 000 KM,Automatique,Essence,1 L,5,Non Négociable,95000
Volkswagen,Golf 6,2010,5 CV,169 KM,Manuelle,Diesel,7 L,5,Négociable,38500
Peugeot,405,1971,4 CV,1 KM,Manuelle,Diesel,5,,Négociable,22000
Peugeot,508,2019,7 CV,112 000 KM,Automatique,Diesel,6 L,5,Négociable,95000
Mahindra,KUV 100,2018,5 CV,68 000 KM,Manuelle,Essence,3 L,5,Non Négociable,26800
Volkswagen,Golf,2019,6 CV,85 000 KM,Automatique,Essence,3 L,5,Négociable,65000
Skoda,Octavia,2015,7 CV,181 000 KM,Automatique,Essence,5 L,5,Non Négociable,41000
Hyundai,I10,2020,5 CV,142 000 KM,Manuelle,Essence,3 L,5,Négociable,33
Kia,RIO,2015,5 CV,160 000 KM,Manuelle,Essence,3 L,5,Négociable,37000
Opel,Corsa,1999,4 CV,100 000 KM,Manuelle,Essence,4 L,5,Négociable,11000
Volkswagen,Tiguan,2019,6 CV,49 000 KM,Manuelle,Essence,1 L,5,Négociable,95
Kia,SPORTAGE,2022,7 CV,80 KM,Automatique,Hybride,6 L,5,Non Négociable,0
Ssangyong,Tivoli,2021,6 CV,130 KM,Manuelle,Essence,3 L,5,Négociable,65
Chery,QQ,2018,4 CV,100 000 KM,Manuelle,Essence,1 L,5,Non Négociable,21000
Dacia,SANDERO,2014,5 CV,154 KM,Manuelle,Essence,1 L,5,Non Négociable,36
Peugeot,208,2016,5 CV,164 000 KM,Manuelle,Essence,3 L,5,Négociable,28000
Mercedes,Classe C,2016,8 CV,110 340 KM,Manuelle,Essence,9 L,5,Non Négociable,90
Volkswagen,Polo,2001,5 CV,280 KM,Manuelle,Essence,5 L,5,Négociable,16000
Volkswagen,Polo,1998,4 CV,555 KM,Manuelle,Essence,1 L,5,Non Négociable,13200
Renault,Clio,2003,5 CV,304 000 KM,Manuelle,Essence,3 L,5,Négociable,11111
Chevrolet,AVEO,2012,5 CV,100 000 KM,Manuelle,Essence,3 L,5,Négociable,18000
Kia,RIO,2018,5 CV,101 000 KM,Manuelle,Essence,3 L,5,Négociable,41000
Peugeot,108,2017,4 CV,114 KM,Manuelle,Essence,3 L,5,Négociable,30000
Ssangyong,Actyon,2017,7 CV,260 000 KM,Manuelle,Diesel,7 L,5,Négociable,50
Peugeot,106,1994,5 CV,450 KM,Manuelle,Essence,5 L,5,Négociable,111
Peugeot,208,2019,5 CV,95 000 KM,Manuelle,Essence,3 L,5,Négociable,34
Suzuki,Swift,2018,5 CV,131 KM,Manuelle,Essence,5,,Négociable,34
Hyundai,I20,2016,4 CV,245 000 KM,Manuelle,Essence,2 L,5,Négociable,34000
Audi,A4,2013,7 CV,248 705 KM,Manuelle,Essence,9 L,5,Négociable,45000
Hyundai,I10,2021,5 CV,41 000 KM,Manuelle,Essence,3 L,5,Négociable,49500
Seat,Ibiza,2017,4 CV,140 000 KM,Manuelle,Essence,1 L,5,Non Négociable,370000
Ford,FIESTA,2011,5 CV,183 000 KM,Manuelle,Essence,5 L,5,Négociable,25900
Nissan,Micra,2020,5 CV,74 340 KM,Manuelle,Essence,3 L,5,Négociable,33800
Peugeot,Autres,2021,5 CV,74 000 KM,Manuelle,Essence,3 L,5,Négociable,33000
Hyundai,SANTA FE,2022,9 CV,23 000 KM,Automatique,Hybride,7 L,5,Négociable,85
Mahindra,KUV 100,2022,5 CV,10 200 KM,Manuelle,Diesel,3 L,,Négociable,0
Renault,Clio,2008,5 CV,322 000 KM,Manuelle,Essence,3 L,5,Non Négociable,22500
Fiat,AUTRE,2004,5 CV,298 000 KM,Manuelle,Essence,21 L,5,Non Négociable,17000000
Fiat,PUNTO,1997,4 CV,297 000 KM,Manuelle,Essence,31 L,5,Négociable,13200
