Marque,Modèle,year,horsepower,road,boite,fuel,cylindrée,nbre_portes,Negociable,Prix
Suzuki,Autres,2020,5 CV,88 000 KM,Manuelle,Essence,3 L,5,Négociable,36500
Ford,FIESTA,2001,5 CV,250 000 KM,Manuelle,Essence,7 L,5,Négociable,12000
Peugeot,407,2004,6 CV,264 000 KM,Manuelle,Diesel,7 L,5,Négociable,20000
Nissan,Micra,2020,5 CV,74 500 KM,Manuelle,Essence,3 L,5,Négociable,33500
Volkswagen,Golf,1995,6 CV,287 204 KM,Manuelle,Diesel,5,,Négociable,15700
Mercedes,Classe E,2010,7 CV,300 000 KM,Manuelle,Diesel,12 L,5,Négociable,72000
Peugeot,308,2014,5 CV,99 500 KM,Manuelle,Essence,3 L,5,Négociable,34000
Bmw,SERIE 3 VI,2007,10 CV,250 000 KM,Automatique,Diesel,3,,,1
Volkswagen,Caddy,2021,5 CV,179 000 KM,Manuelle,Diesel,11 L,3,,50
Volkswagen,Polo,2012,5 CV,350 000 KM,Manuelle,Diesel,7 L,5,Négociable,26000
Seat,Arona,2021,6 CV,58 000 KM,Manuelle,Essence,7 L,5,,68000
Volkswagen,Golf,2005,5 CV,300 KM,Manuelle,Diesel,5 L,5,Négociable,0
Volkswagen,Amarok,2014,7 CV,45 000 KM,Automatique,Diesel,5,,Négociable,125
Infiniti,AUTRE,2023,10 CV,8 000 KM,Automatique,Essence,7 L,5,,215000
Chery,Tiggo,2020,6 CV,100 000 KM,Manuelle,Essence,7 L,5,,42500
Kia,RIO,2018,5 CV,108 KM,Manuelle,Essence,3 L,5,Négociable,49900
Mahindra,KUV 100,2022,5 CV,10 300 KM,Manuelle,Diesel,3 L,,Négociable,0
Citroen,NEMO,2017,5 CV,150 KM,Manuelle,Diesel,4 L,5,Négociable,25
Peugeot,3008,2020,9 CV,87 000 KM,Automatique,Essence,3 L,5,Négociable,90000
Volkswagen,Golf 6,2011,5 CV,170 KM,Manuelle,Diesel,7 L,5,Négociable,38
Kia,PICANTO,2010,4 CV,137 KM,Manuelle,Essence,2 L,5,Négociable,24500
Audi,A4,2013,7 CV,248 705 KM,Manuelle,Essence,9 L,5,Négociable,45000
Kia,RIO,2021,5 CV,92 000 KM,Manuelle,Essence,5,,Négociable,43500
Kia,RIO,2021,5 CV,89 000 KM,Manuelle,Essence,5,,Négociable,44000
Hyundai,I20,2021,5 CV,39 000 KM,Manuelle,Essence,3 L,5,,63000
Mazda,MAZDA5,2006,+20 CV,243 KM,Automatique,Diesel,11 L,5,Négociable,20
Fiat,DOBLO,2014,4 CV,115 KM,Manuelle,Diesel,4 L,3,,20
Ford,FIESTA,2013,5 CV,183 000 KM,Manuelle,Essence,5 L,5,Négociable,25900
Kia,RIO,2017,5 CV,172 000 KM,Manuelle,Essence,3 L,5,Négociable,39000
Fiat,PANDA,2009,4 CV,178 000 KM,Manuelle,Essence,1 L,5,Négociable,23900
Citroen,C3,2019,4 CV,29 000 KM,Manuelle,Essence,5,,,42500
Dacia,DOKKER,2021,6 CV,40 000 KM,Manuelle,Diesel,6 L,3,Négociable,39000
Hyundai,I10,2021,5 CV,41 000 KM,Manuelle,Essence,3 L,5,Négociable,49500
Seat,Ibiza,2017,4 CV,140 000 KM,Manuelle,Essence,1 L,5,,370000
Hyundai,SANTA FE,2022,9 CV,23 000 KM,Automatique,Hybride,7 L,5,Négociable,85
Renault,Clio,2008,5 CV,322 000 KM,Manuelle,Essence,3 L,5,,22500
Fiat,AUTRE,2004,5 CV,298 000 KM,Manuelle,Essence,21 L,5,,17000000
Fiat,PUNTO,1997,4 CV,297 000 KM,Manuelle,Essence,31 L,5,Négociable,13200
